industry	item	2020Q1	2021Q1	gr_2020Q1	gr_2021Q1
ICT產業	所有產品	4186315.8	5413653.1	15.09228531	29.31783837
非ICT產業	所有產品	3675986.7	4380711.1	-6.956902615	19.17102692
機械	18類產品總計	489981.5	634461.6	-10.4647948	29.48684797
機械	工具機	55388.3	59560.2	-24.62689918	7.532096129
機械	工具機零組件	18221.9	27221.8	-20.026772	49.39056849
機械	木工機械	15369.3	20841.9	17.12263001	35.60734711
機械	食品包裝機械	10277.7	11805	-9.220428208	14.86032867
機械	軸承、齒輪、滾珠螺桿	36402.4	55944.5	-14.07516511	53.68354834
機械	塑橡膠機械	23508.3	22805.5	-2.110746527	-2.989582403
機械	半導體、IC、面板用製程設備	73670.4	116245.2	-11.47884912	57.79091738
機械	檢測設備	75717.6	106046.3	1.474047042	40.05502023
機械	控制器	10295.4	16359.4	-9.467112205	58.9000913
顯示器	所有產品	144490.6	222042.2	-14.13893877	53.67241883
半導體	所有產品	2515559.1	3137759.6	22.31908919	24.73408397
通訊	所有產品	244385.6	316542.5	4.861500861	29.52583949
電路板	所有產品	128818.4	144696.4	11.02191939	12.32587891
資訊及通信	所有產品	401367.5	471902.3	8.902038022	17.57362019
光電	所有產品	6883.7	8722.8	-13.71971473	26.71673664
消費性電子	所有產品	401367.5	471902.3	8.902038022	17.57362019
資通訊	所有產品	4180345.9	5404623.5	15.12520937	29.2865143
醫療器材	所有產品	74990.8	89073.4	-3.678890245	18.77910357
美妝	所有產品	14513.1	13064.7	-8.334649175	-9.979949149
傢俱	所有產品	44930.9	55720.1	2.719391698	24.0128731
財政部產業定義	礦產品	286024.8	202972.4	-10.31658636	-29.03678282
財政部產業定義	化學品	436941.3	527622.1	-10.54890838	20.75354287
財政部產業定義	紡織品	205698.1	210740.8	-9.436759241	2.451505386
財政部產業定義	基本金屬及其製品	630105.6	756307.1	-8.377062625	20.02862695
財政部產業定義	電子零組件	2919449	3747855.2	20.03602089	28.37542975
財政部產業定義	機械	513442.5	639350.1	-11.33474373	24.52223959
財政部產業定義	電機產品	245087.7	312558.1	-4.75169491	27.52908449
財政部產業定義	運輸工具	267264	328758	3.92478767	23.00871049
財政部產業定義	光學器材	248270.9	344975.1	-4.405192373	38.95108126
財政部產業定義-54細項	活、生鮮或冷藏、冷凍魚	35383.3	32985.2	-10.14997308	-6.777491076
財政部產業定義-54細項	汽油	37236.3	22037.2	-0.438232951	-40.81796527
財政部產業定義-54細項	航空用燃油	25839.2	6629.7	3.267164102	-74.3424719
財政部產業定義-54細項	柴油	125543.7	72744.1	-24.74085095	-42.05674996
財政部產業定義-54細項	燃料油	36278.3	37480.5	11.91203327	3.313826723
財政部產業定義-54細項	丙烯	12369.4	19572.1	-18.94339524	58.2299869
財政部產業定義-54細項	對－二甲苯	22809.8	23226.5	-43.8638545	1.826846356
財政部產業定義-54細項	苯乙烯	10477.4	8535.5	-12.36921121	-18.53417833
財政部產業定義-54細項	乙二醇	19391.6	20885.8	-18.20685757	7.705398214
