industry,item,2020_Q3,2020_Q4,gr_2020_Q3,gr_2020_Q4,2019_Q3,2019_Q4
(財)54細項,乙二醇,127986,145231,-30.66,-33.59,184575,218679
(財)54細項,二極體(含LED),694593,724167,8.61,17.43,639528,616679
(財)54細項,小客車,121255,166401,-38.63,-20.45,197591,209177
(財)54細項,工業機器人,34240,36305,6.09,-3.85,32273,37758
(財)54細項,不銹鋼及其製品,434650,549524,-29.14,-7.82,613434,596132
(財)54細項,太陽電池,19707,18702,-73.62,-73.95,74704,71805
(財)54細項,手提工具,199136,218344,6.96,23,186171,177516
(財)54細項,手提電腦,548221,592630,25.93,-5.65,435337,628087
(財)54細項,手機,50451,52847,81,12.35,27873,47037
(財)54細項,手機及電話之零件,542465,684696,4.37,20.62,519728,567650
(財)54細項,丙烯,27447,78909,-76.48,-41.61,116708,135150
(財)54細項,丙烯腈-丁二烯-苯乙烯(ABS)共聚合物,429034,569386,3.17,33.74,415862,425730
(財)54細項,半導體設備,1155560,1381272,12.78,29.58,1024633,1065949
(財)54細項,未列名具有特殊功能之機械,290419,305161,-5.24,-3.89,306490,317526
(財)54細項,生產半導體等機械,858492,1036261,4.24,24.47,823596,832533
(財)54細項,交換器及路由器,1540143,1661373,25.84,18.3,1223915,1404423
(財)54細項,印刷電路,1480880,1578613,2.09,8.7,1450537,1452314
(財)54細項,自行車,341566,299652,-10.78,-12.77,382849,343511
(財)54細項,自動資料處理機及其附屬單元,2952188,2909411,32.86,15.06,2222089,2528710
(財)54細項,汽油,78216,150133,-85.27,-50.21,530904,301506
(財)54細項,金屬加工工具機,472239,571117,-35.96,-20.94,737413,722354
(財)54細項,非ICT產業,37034405,41272565,-8.56,1.81,40500305,40540389
(財)54細項,活、生鮮或冷藏、冷凍魚,301282,348309,-28.2,-18.98,419633,429916
(財)54細項,苯乙烯,68930,97411,-34.1,-7.91,104597,105774
(財)54細項,飛機及其零件,62244,91449,-45.78,-26.22,114790,123945
(財)54細項,原電池、原電池組及蓄電池,156869,166510,-7.11,7.47,168872,154939
(財)54細項,柴油,688188,564638,-58.65,-63.52,1664163,1547694
(財)54細項,紡織用機械,197259,238021,-9.15,11.45,217132,213567
(財)54細項,航空用燃油,60940,33647,-79.85,-86.26,302481,244866
(財)54細項,偏光板,297318,333366,24.13,28.54,239524,259343
(財)54細項,液晶指示器,65877,66071,-3.8,-7.56,68480,71474
(財)54細項,液晶裝置,1567267,1724165,5.29,23.69,1488528,1393949
(財)54細項,液晶裝置之零件,191754,246128,18.96,65.12,161187,149062
(財)54細項,第8701~8705節機動車輛之零附件,944204,1067458,-3.56,6.11,979020,1006037
(財)54細項,船舶,148484,143210,45.15,-29.16,102294,202166
(財)54細項,造紙及印刷機械,138381,178536,-35.15,-11.76,213382,202323
(財)54細項,晶圓(化學品),290022,311763,7.14,10.89,270701,281149
(財)54細項,渦輪噴射引擎,811,2339,-83.73,-65.95,4986,6869
(財)54細項,塑橡膠加工機,230999,238521,-5.88,-13.97,245442,277260
(財)54細項,電子零組件減積體電路,3561810,3768758,10.56,18.82,3221621,3171854
(財)54細項,電容器及電阻器,769772,813306,42.47,53.39,540317,530235
(財)54細項,電動機及發電機(組),230058,270057,-6.68,7.57,246534,251046
(財)54細項,電腦之零附件,3335895,3422176,33.21,12.01,2504254,3055221
(財)54細項,對－二甲苯,136856,145547,-35.2,-6.78,211200,156126
(財)54細項,滾珠、滾子軸承及傳動軸,466541,528947,16.94,35.83,398960,389431
(財)54細項,摩托車、自行車之零附件,848491,946757,19.95,24.77,707397,758811
(財)54細項,橡膠輪胎,284485,304680,9.73,26.61,259248,240638
(財)54細項,燃料油,157018,228935,-54.42,-28.47,344492,320039
